deposit_block_time,source_chain,destination_chain,amount_usd
2026-04-10 12:25:53.000 UTC,optimism,polygon,0.05543225
2026-04-10 12:25:57.000 UTC,arbitrum,polygon,274.23637523750745
2026-04-10 12:25:59.000 UTC,ethereum,hyperliquid,5.310404869389999
2026-04-10 12:26:05.000 UTC,zksync,arbitrum,441.4491501143966
2026-04-10 12:26:13.000 UTC,base,optimism,1.3303133674349998
2026-04-10 12:26:15.000 UTC,polygon,ethereum,1.860232998983
2026-04-10 12:26:17.000 UTC,arbitrum,zksync,33.294934399329996
2026-04-10 12:26:17.000 UTC,zksync,hyperliquid,9.98473390228327
2026-04-10 12:26:18.000 UTC,base,hyperliquid,37.14926307915645
2026-04-10 12:26:24.000 UTC,arbitrum,ethereum,37.37008398496958
2026-04-10 12:26:26.000 UTC,polygon,arbitrum,33.351733430389
2026-04-10 12:26:29.000 UTC,base,ethereum,58.791150963056
2026-04-10 12:26:33.000 UTC,zksync,ethereum,9.60501003886241
2026-04-10 12:26:35.000 UTC,ethereum,optimism,499.9355
2026-04-10 12:26:35.000 UTC,base,arbitrum,39.99484
2026-04-10 12:26:37.000 UTC,polygon,ethereum,343.16921346004796
2026-04-10 12:26:45.000 UTC,arbitrum,base,18.240309696473
2026-04-10 12:26:48.000 UTC,arbitrum,hyperliquid,7998.768025799999
2026-04-10 12:26:57.000 UTC,polygon,base,0.49570685278247545
2026-04-10 12:26:59.000 UTC,base,polygon,385.16910957264304
2026-04-10 12:27:03.000 UTC,base,arbitrum,18.803621019936998
2026-04-10 12:27:06.000 UTC,arbitrum,zksync,273.46119159703187
2026-04-10 12:27:07.000 UTC,arbitrum,zksync,440.23215560925615
2026-04-10 12:27:08.000 UTC,arbitrum,hyperliquid,999.871
2026-04-10 12:27:17.000 UTC,optimism,arbitrum,10.739673590789861
2026-04-10 12:27:21.000 UTC,arbitrum,hyperliquid,67929.0622444171
2026-04-10 12:27:21.000 UTC,arbitrum,hyperliquid,3346.501864563149
2026-04-10 12:27:23.000 UTC,ethereum,base,74.35797565689748
2026-04-10 12:27:35.000 UTC,ethereum,base,38.91575803013655
2026-04-10 12:27:41.000 UTC,arbitrum,hyperliquid,27.163787419331996
2026-04-10 12:27:44.000 UTC,arbitrum,hyperliquid,500.27545613999996
2026-04-10 12:27:45.000 UTC,arbitrum,hyperliquid,19542.81588149733
2026-04-10 12:27:47.000 UTC,zksync,hyperliquid,39.99484
2026-04-10 12:27:54.000 UTC,polygon,base,0.7904789204430639
2026-04-10 12:27:58.000 UTC,ethereum,arbitrum,384.3912787764524
2026-04-10 12:27:59.000 UTC,ethereum,zksync,207.321368093036
2026-04-10 12:28:01.000 UTC,base,ethereum,16.45470774082881
2026-04-10 12:28:07.000 UTC,optimism,arbitrum,7.449105941357
2026-04-10 12:28:07.000 UTC,zksync,arbitrum,272.31744688774313
2026-04-10 12:28:09.000 UTC,zksync,ethereum,439.0050342016479
2026-04-10 12:28:11.000 UTC,base,arbitrum,4.999355
2026-04-10 12:28:23.000 UTC,base,ethereum,2.734573548650614
2026-04-10 12:28:23.000 UTC,ethereum,base,2.0997291000000002
2026-04-10 12:28:28.000 UTC,arbitrum,base,24.979361401884045
2026-04-10 12:28:33.000 UTC,arbitrum,zksync,383.6160541261448
2026-04-10 12:28:35.000 UTC,ethereum,arbitrum,9998.71
2026-04-10 12:28:40.000 UTC,arbitrum,hyperliquid,298.961429
2026-04-10 12:28:41.000 UTC,ethereum,hyperliquid,31.531018973776998
2026-04-10 12:28:50.000 UTC,arbitrum,zksync,271.1836746301902
2026-04-10 12:28:55.000 UTC,base,zksync,438.10678470660116
2026-04-10 12:28:59.000 UTC,ethereum,base,1135.1542461783765
2026-04-10 12:29:01.000 UTC,polygon,ethereum,6.58876782738364
2026-04-10 12:29:05.000 UTC,optimism,arbitrum,499.9355
2026-04-10 12:29:07.000 UTC,arbitrum,hyperliquid,1999.742
2026-04-10 12:29:11.000 UTC,ethereum,base,41.388717166647
2026-04-10 12:29:11.000 UTC,ethereum,optimism,9.99871
2026-04-10 12:29:11.000 UTC,polygon,base,0.08276945169087196
2026-04-10 12:29:11.000 UTC,arbitrum,ethereum,138030.222
2026-04-10 12:29:13.000 UTC,arbitrum,ethereum,42.316542293663
2026-04-10 12:29:19.000 UTC,arbitrum,hyperliquid,14.788719009116999
2026-04-10 12:29:32.000 UTC,zksync,base,5.2993163
2026-04-10 12:29:32.000 UTC,zksync,base,1.8678658294082988
2026-04-10 12:29:35.000 UTC,zksync,hyperliquid,2.21729
2026-04-10 12:29:35.000 UTC,ethereum,optimism,63.847964642715
2026-04-10 12:29:35.000 UTC,ethereum,hyperliquid,4723.313188987824
2026-04-10 12:29:35.000 UTC,zksync,arbitrum,382.4181588549269
2026-04-10 12:29:41.000 UTC,polygon,arbitrum,8.353301983739296
2026-04-10 12:29:47.000 UTC,polygon,arbitrum,84.6610709986564
2026-04-10 12:29:52.000 UTC,arbitrum,ethereum,37.485664563083
2026-04-10 12:29:53.000 UTC,base,optimism,4.956776699073519
2026-04-10 12:29:53.000 UTC,zksync,base,270.0423077404706
2026-04-10 12:29:54.000 UTC,arbitrum,zksync,8.001752
2026-04-10 12:29:55.000 UTC,zksync,hyperliquid,436.35867831388924
2026-04-10 12:30:04.000 UTC,arbitrum,optimism,1001.3474157120451
2026-04-10 12:30:06.000 UTC,arbitrum,ethereum,250.00125
2026-04-10 12:30:11.000 UTC,ethereum,arbitrum,10.00005
2026-04-10 12:30:20.000 UTC,arbitrum,optimism,30570.107177999995
2026-04-10 12:30:23.000 UTC,arbitrum,optimism,2.9863882017550885
2026-04-10 12:30:24.000 UTC,arbitrum,optimism,2010.4989501999999
2026-04-10 12:30:25.000 UTC,arbitrum,hyperliquid,4999.994999850001
2026-04-10 12:30:25.000 UTC,ethereum,arbitrum,2797.5526154360728
2026-04-10 12:30:28.000 UTC,arbitrum,base,3.921430607055
2026-04-10 12:30:29.000 UTC,arbitrum,optimism,980.757912765045
2026-04-10 12:30:29.000 UTC,optimism,base,1.17901389504
2026-04-10 12:30:35.000 UTC,base,arbitrum,5.937260686155
2026-04-10 12:30:39.000 UTC,optimism,base,380.9202232009412
2026-04-10 12:30:42.000 UTC,arbitrum,base,1000.005
2026-04-10 12:30:47.000 UTC,ethereum,base,5.25002625
2026-04-10 12:30:47.000 UTC,ethereum,arbitrum,47.36755581472863
2026-04-10 12:30:51.000 UTC,arbitrum,base,200.98414491570003
2026-04-10 12:30:53.000 UTC,optimism,base,434.56521106338926
2026-04-10 12:30:55.000 UTC,base,arbitrum,267.40534711822954
2026-04-10 12:30:59.000 UTC,ethereum,arbitrum,24.8876244375
2026-04-10 12:30:59.000 UTC,arbitrum,hyperliquid,21.000105
2026-04-10 12:31:00.000 UTC,arbitrum,base,53.996086039999994
2026-04-10 12:31:01.000 UTC,base,zksync,159.634747169745
2026-04-10 12:31:01.000 UTC,arbitrum,hyperliquid,1417.41226302
2026-04-10 12:31:03.000 UTC,polygon,ethereum,10000.05
2026-04-10 12:31:03.000 UTC,polygon,base,999.9671063827342
2026-04-10 12:31:06.000 UTC,ethereum,base,0.3429894935022885
2026-04-10 12:31:10.000 UTC,arbitrum,base,1234.5061725
2026-04-10 12:31:11.000 UTC,polygon,arbitrum,306.208976037225
2026-04-10 12:31:13.000 UTC,arbitrum,ethereum,15.714288000000002
2026-04-10 12:31:13.000 UTC,base,arbitrum,379.62813133284766
2026-04-10 12:31:21.000 UTC,polygon,zksync,525.40526101317
2026-04-10 12:31:23.000 UTC,base,zksync,199.55945099999997
2026-04-10 12:31:27.000 UTC,arbitrum,optimism,266.79467216084174
2026-04-10 12:31:29.000 UTC,zksync,optimism,59999.248994745
2026-04-10 12:31:31.000 UTC,polygon,zksync,1179.528750852088
2026-04-10 12:31:33.000 UTC,base,arbitrum,433.7909073804918
2026-04-10 12:31:33.000 UTC,base,arbitrum,296.85627027393
2026-04-10 12:31:35.000 UTC,ethereum,optimism,49.88986274999999
2026-04-10 12:31:38.000 UTC,arbitrum,base,0.012891064455
2026-04-10 12:31:39.000 UTC,base,optimism,46.686181776861126
2026-04-10 12:31:41.000 UTC,arbitrum,base,5.25002625
2026-04-10 12:31:45.000 UTC,arbitrum,hyperliquid,50.00025
2026-04-10 12:31:54.000 UTC,base,arbitrum,2010.4989501999999
2026-04-10 12:31:55.000 UTC,base,ethereum,390.81251054859297
2026-04-10 12:31:58.000 UTC,optimism,ethereum,22128.735821912844
2026-04-10 12:32:03.000 UTC,base,arbitrum,248.0047200174
2026-04-10 12:32:23.000 UTC,ethereum,optimism,30.473121284813995
2026-04-10 12:32:31.000 UTC,polygon,ethereum,2.960481041282279
2026-04-10 12:32:31.000 UTC,arbitrum,hyperliquid,41.46020730000001
2026-04-10 12:32:31.000 UTC,polygon,ethereum,265.899393276533
2026-04-10 12:32:32.000 UTC,arbitrum,base,433.1289960296474
2026-04-10 12:32:35.000 UTC,ethereum,base,362.0665040229899
2026-04-10 12:32:36.000 UTC,arbitrum,hyperliquid,112.64009119764
2026-04-10 12:32:36.000 UTC,arbitrum,hyperliquid,240.0012
2026-04-10 12:32:37.000 UTC,base,ethereum,22.929451549565055
2026-04-10 12:32:40.000 UTC,polygon,arbitrum,12.87182929188168
2026-04-10 12:32:45.000 UTC,arbitrum,hyperliquid,450.00225
2026-04-10 12:32:47.000 UTC,ethereum,arbitrum,208.24026519612
2026-04-10 12:32:47.000 UTC,ethereum,base,9.0600453
2026-04-10 12:32:51.000 UTC,polygon,ethereum,44.07022035
2026-04-10 12:32:59.000 UTC,ethereum,polygon,80.204860022295
2026-04-10 12:33:01.000 UTC,base,arbitrum,7.53888569424
2026-04-10 12:33:03.000 UTC,arbitrum,hyperliquid,415.3800168897
2026-04-10 12:33:04.000 UTC,arbitrum,hyperliquid,2000.03673013365
2026-04-10 12:33:06.000 UTC,arbitrum,hyperliquid,191.5209576
2026-04-10 12:33:09.000 UTC,optimism,base,31.649904000000003
2026-04-10 12:33:09.000 UTC,optimism,base,1.084542422685
2026-04-10 12:33:11.000 UTC,ethereum,hyperliquid,1.5271632000000002
2026-04-10 12:33:13.000 UTC,polygon,base,10.00134200646
2026-04-10 12:33:23.000 UTC,ethereum,base,460.3357226660818
2026-04-10 12:33:23.000 UTC,ethereum,base,26.559360000000005
2026-04-10 12:33:23.000 UTC,ethereum,polygon,10.634304149613767
2026-04-10 12:33:23.000 UTC,polygon,optimism,30.825641304483998
2026-04-10 12:33:27.000 UTC,polygon,zksync,249221.57077862337
2026-04-10 12:33:27.000 UTC,optimism,base,2.18623693113
2026-04-10 12:33:29.000 UTC,arbitrum,hyperliquid,95081.12637525487
2026-04-10 12:33:30.000 UTC,zksync,polygon,141.41243715607672
2026-04-10 12:33:31.000 UTC,arbitrum,hyperliquid,264.7903229888863
2026-04-10 12:33:37.000 UTC,zksync,base,36.740448
2026-04-10 12:33:37.000 UTC,ethereum,zksync,432.2328258421806
2026-04-10 12:33:39.000 UTC,arbitrum,hyperliquid,0.12003575999999999
2026-04-10 12:33:41.000 UTC,base,optimism,0.562025810115
2026-04-10 12:33:46.000 UTC,zksync,ethereum,35010.43
2026-04-10 12:33:47.000 UTC,ethereum,base,22.23621318051
2026-04-10 12:33:47.000 UTC,ethereum,polygon,2.00001
2026-04-10 12:33:54.000 UTC,arbitrum,hyperliquid,1000.005
2026-04-10 12:33:57.000 UTC,arbitrum,hyperliquid,209601.0279999
2026-04-10 12:33:59.000 UTC,ethereum,polygon,127.60528081838976
2026-04-10 12:33:59.000 UTC,ethereum,polygon,3002.1506346781202
2026-04-10 12:34:07.000 UTC,polygon,hyperliquid,3.9769206426257893
2026-04-10 12:34:08.000 UTC,ethereum,polygon,24.99458633003381
2026-04-10 12:34:09.000 UTC,zksync,base,430.4981360624131
2026-04-10 12:34:10.000 UTC,arbitrum,base,123.94368000000001
2026-04-10 12:34:11.000 UTC,base,ethereum,155.82977165892055
2026-04-10 12:34:13.000 UTC,hyperliquid,ethereum,75188.52261773338
2026-04-10 12:34:16.000 UTC,hyperliquid,base,20.366255984800663
2026-04-10 12:34:17.000 UTC,base,hyperliquid,199.19520000000003
2026-04-10 12:34:17.000 UTC,arbitrum,base,263.65088156793473
2026-04-10 12:34:17.000 UTC,arbitrum,hyperliquid,217.25742028167
2026-04-10 12:34:20.000 UTC,base,arbitrum,10.002734414494762
2026-04-10 12:34:21.000 UTC,base,arbitrum,1.03787318934
2026-04-10 12:34:23.000 UTC,base,ethereum,24.305416641970567
2026-04-10 12:34:23.000 UTC,ethereum,hyperliquid,2.00001
2026-04-10 12:34:31.000 UTC,base,arbitrum,5.000025
2026-04-10 12:34:32.000 UTC,base,polygon,40.184791766045265
2026-04-10 12:34:35.000 UTC,ethereum,base,524002.62
2026-04-10 12:34:39.000 UTC,base,ethereum,0.56202681012
2026-04-10 12:34:40.000 UTC,arbitrum,zksync,89.859168
2026-04-10 12:34:41.000 UTC,polygon,arbitrum,12.210632462235804
2026-04-10 12:34:44.000 UTC,polygon,base,758.933712
2026-04-10 12:34:47.000 UTC,arbitrum,base,9.092708819999999
2026-04-10 12:34:51.000 UTC,base,ethereum,74.929719404306
2026-04-10 12:34:51.000 UTC,polygon,arbitrum,10.009694024469937
2026-04-10 12:34:59.000 UTC,ethereum,hyperliquid,200034.15016575
2026-04-10 12:35:00.000 UTC,arbitrum,ethereum,456.75982698349833
2026-04-10 12:35:01.000 UTC,arbitrum,hyperliquid,145.10727814874
2026-04-10 12:35:11.000 UTC,ethereum,base,22.2017
2026-04-10 12:35:11.000 UTC,arbitrum,hyperliquid,144.491609885906
2026-04-10 12:35:13.000 UTC,base,polygon,430.01439225858616
2026-04-10 12:35:19.000 UTC,base,zksync,263.6535102006001
2026-04-10 12:35:23.000 UTC,ethereum,arbitrum,2182.768703605616
2026-04-10 12:35:23.000 UTC,ethereum,arbitrum,57.31393528817999
2026-04-10 12:35:24.000 UTC,arbitrum,ethereum,52.013624
2026-04-10 12:35:36.000 UTC,arbitrum,optimism,350.00092639999997
2026-04-10 12:35:42.000 UTC,arbitrum,hyperliquid,2182.544134783996
2026-04-10 12:35:43.000 UTC,polygon,arbitrum,11309.711035150753
2026-04-10 12:35:51.000 UTC,ethereum,arbitrum,15.036398318100687
2026-04-10 12:35:51.000 UTC,arbitrum,hyperliquid,470.12314
2026-04-10 12:35:54.000 UTC,arbitrum,base,350.00092639999997
2026-04-10 12:35:59.000 UTC,ethereum,base,12.21705503001
2026-04-10 12:36:01.000 UTC,arbitrum,ethereum,7.205589369924
2026-04-10 12:36:04.000 UTC,arbitrum,hyperliquid,208.054496
